username,promedio_sentiment,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
orlandom_energy,0.0,Orlando Morales,TLAXCALA CunaDeLaNación MÉXICO,,111,True ,REDES SOCIALES PROGRESISTAS,NACIONAL,ORLANDO ISAEL MORALES SANCHEZ,36
pesnacionalmx,1.0,Partido Encuentro Solidario,México,,11860,False ,PARTIDO ENCUENTRO SOLIDARIO,GUANAJUATO,MARTHA LUCIA OLMOS BARRERA,38
ptnacionalmx,1.0,PT México,"Cuauhtémoc, Distrito Federal",,7390,False ,PARTIDO DEL TRABAJO,MÉXICO,ANNY XARENI VIEYRA CASTRO,32
pane28,-0.5,Pamela Medina,"Oaxaca de Juárez, Oaxaca",,56,False ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,DULCE PAMELA MEDINA GUTIERREZ,75
quikesagal,1.0,Enrique Sánchez,,,13,False ,PARTIDO ENCUENTRO SOLIDARIO,CIUDAD DE MÉXICO,JUAN ENRIQUE SANCHEZ GALVAN,46
rayatanacioluna,1.0,Raymundo Atanacio Luna,Puebla,"Diputado Federal electo de Tepeaca Dtto 7.Amigo, padre de familia y luchador social. Siempre cercano a la gente. #DefendamosJuntosLaEsperanza",2197,True ,JUNTOS HACEMOS HISTORIA,PUEBLA,RAYMUNDO ATANACIO LUNA,51
thelmacoragarza,1.0,Thelma Cora Garza,San Pedro Garza García,Orgullosa madre de 4 hijos 👩‍👩‍👧‍👦 Activista y luchadora social 🙋🏼‍♀️ Doctora Honoris Causa 🎓 Galardonada Mujer Líder 2021🥇,268,True ,MOVIMIENTO CIUDADANO,NUEVO LEÓN,THELMA CORA GARZA SALINAS,56
villalpandorh,1.0,Villalpando,,🇲🇽Presidente de la Comisión Bicameral del Canal del Congreso | Diputado Federal | Ex Alcalde de Xalapa | Ex Rector de la UV | Instagram: @villalpandorh,478,True ,MORENA,VERACRUZ,RAFAEL HERNANDEZ VILLALPANDO,73
wencesrealpt,0.0,Victoriano Wences,"Tlapa de Comonfort, Guerrero.","Ex Pdte. Mpal. de Tlapa de Comonfort, Guerrero, Comisionado Político Nacional #PT #Guerrero. Ex Dip Federal y Local. Partido del Trabajo. Mtro. Administración.",741,False ,JUNTOS HACEMOS HISTORIA,GUERRERO,VICTORIANO WENCES REAL,47
yeseniacarrill,1.0,Yesenia Carrillo,"Saltillo, Coahuila de Zaragoza",,12,False ,PARTIDO ENCUENTRO SOLIDARIO,COAHUILA,YESENIA LOURDES CARRILLO CAMPOS,44
zairamontoyav,1.0,Zaira Montoya,Estado Mexico,#ZairaMontoya,464,True ,VA POR MEXICO,MÉXICO,ZAIRA TAIDE MONTOYA VALENZUELA,35
ana_chvez,0.0,Ana Laura Chávez Velarde,"Guadalajara, Jalisco",Construyendo Ciudadanía. Liberal. Politóloga. Profesora Universitaria,1975,True ,VA POR MEXICO,JALISCO,ANA LAURA CHAVEZ VELARDE,49
angelandariego1,1.0,@angelandariego Angel Dominguez Escobar,,ingeniero Agrónomo Egresado del Instituto Tecnológico de La Cuenca del Papaloapan,168,False ,JUNTOS HACEMOS HISTORIA,OAXACA,ANGEL DOMINGUEZ ESCOBAR,42
carmenjoaquinmx,1.0,Carmen Joaquín,Caribe Mexicano,Empresaria. Mamá de 3. Quintanarroense 💛💙❤️ ExPresidente CPMX. Lic. en Admón. y Mtra. Comercio y Negocios Intl. Karateka y Pambolerísima. Sí Por México!,7775,False ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,NACIONAL,MARIA DEL CARMEN JOAQUIN HERNANDEZ,46
chavaespina3,1.0,José Salvador Espina,"Puebla, México",Católico🇻🇦,Mexicano 🇲🇽, Politólogo @UPAEP,PARTIDO ACCIÓN NACIONAL,NACIONAL,JOSE SALVADOR ESPINA GARZON,23
chavarosasmx,1.0,Chava Rosas,,Diputado Federal de Nuevo Laredo Tamaulipas,2175,True ,PARTIDO ACCIÓN NACIONAL,TAMAULIPAS,JOSE SALVADOR ROSAS QUINTANILLA,60
dano_montoya,0.0,🇲🇽Daniel Montoya.,"Coacalco de Berriozábal, Méxic","Creo que la vida es una obra de arte y cada quien hace su propia, única y original obra. #DamosMasJuntos",554,True ,REDES SOCIALES PROGRESISTAS,MÉXICO,DANIEL MONTOYA JAIMES,36
ednasosaj,0.0,Edna Sosa,Tlalnepantla,"Mamá de 2 niños hermosos, preocupada y ocupada en construir un México mejor, más justo y prospero.",822,True ,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,MÉXICO,EDNA VALERIA SOSA JUAREZ,38
elorza27,0.0,Dip federal jose luis elorza,"Tapachula, Chiapas",Diputado Federal por el Distrito 12 de Chiapas.,83,True ,MORENA,CHIAPAS,JOSE LUIS ELORZA FLORES,48
es_iztacalco,0.5,Emilio Serrano,,,499,True ,FUERZA POR MÉXICO,CIUDAD DE MÉXICO,EMILIO SERRANO JIMENEZ,63
gisellehdezgar,-1.0,giselle,,,344,True ,PARTIDO ENCUENTRO SOLIDARIO,CIUDAD DE MÉXICO,GISELLE HERNANDEZ GARCIA,44
hugo_murillor,-1.0,HugoMurillor,,"abogado, filántropo, aficionado a la lectura, comprometido con causas sociales",18,True ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,MÉXICO,HUGO MURILLO RAMIREZ,42
javierperezmc,0.5,Javier Pérez Ramírez,"Tabasco, México",Lic. en Ciencias Políticas y Admon. Pública. Universidad de Monterrey (UDEM). Ex candidato a Diputado Federal IV Distrito. Tabasqueño,617,True ,MOVIMIENTO CIUDADANO,TABASCO,JAVIER ALEJANDRO PEREZ RAMIREZ,36
joannaftorres,-1.0,Joanna F. Torres,Estado de México,"Diputada Federal electa por Cuautitlán Izcalli, Estado de México.",2097,False ,VA POR MEXICO,MÉXICO,JOANNA ALEJANDRA FELIPE TORRES,36
jorgeromerogto,0.5,JORGE ROMERO,"IRAPUATO, GTO.",#Irapuato🍓 #Silao🗳 Diputado Federal Electo 🎖1 récord guinness🇲🇽Consejero Nacional de @accionnacional,5086,True ,PARTIDO ACCIÓN NACIONAL,GUANAJUATO,JORGE ALBERTO ROMERO VAZQUEZ,34
julioc_moreno,1.0,JULIO CESAR MORENO,MEXICO,Hombre comprometido por mejorar la calidad de vida de los habitantes de Venustiano Carranza. Diputado Federal Electo.,19220,True ,MORENA,NACIONAL,JULIO CESAR MORENO RIVERA,50
